選舉年度,選舉類別,層級,縣市,選區,號次,姓名,性別,政黨,得票數,得票率,當選
1994,議員,區域,00,00,1,楊泰順,1,新黨,123448,8.09,Y
1994,議員,區域,00,00,2,苗素芳,2,中國國民黨,44038,2.88,N
1994,議員,區域,00,00,3,邵松雄,1,無,12333,0.81,N
1994,議員,區域,00,00,4,董尚中,1,無,2795,0.18,N
1994,議員,區域,00,00,5,陳照郎,1,中國國民黨,91420,5.99,Y
1994,議員,區域,00,00,6,周鍚瑋,1,中國國民黨,78529,5.14,Y
1994,議員,區域,00,00,7,陳丁茂,1,無,4040,0.26,N
1994,議員,區域,00,00,8,劉炳偉,1,中國國民黨,104669,6.86,Y
1994,議員,區域,00,00,9,周慧瑛,2,民主進步黨,139741,9.15,Y
1994,議員,區域,00,00,10,石瓊文,1,無,7956,0.52,N
1994,議員,區域,00,00,11,簡盛義,1,中國國民黨,76991,5.04,Y
1994,議員,區域,00,00,12,游麗珠,2,新黨,23875,1.56,N
1994,議員,區域,00,00,13,林鍚耀,1,民主進步黨,90018,5.90,Y
1994,議員,區域,00,00,14,王兆釧,1,民主進步黨,131712,8.63,Y
1994,議員,區域,00,00,15,張金策,1,民主進步黨,51261,3.36,N
1994,議員,區域,00,00,16,宋艾克,1,新黨,115359,7.56,Y
1994,議員,區域,00,00,17,羅明旭,1,中國國民黨,124792,8.17,Y
1994,議員,區域,00,00,18,林建榮,1,中國國民黨,48674,3.19,N
1994,議員,區域,00,00,19,劉一德,1,民主進步黨,58019,3.80,N
1994,議員,區域,00,00,20,張清芳,1,民主進步黨,97369,6.38,Y
1994,議員,區域,00,00,21,蕭正用,1,無,11789,0.77,N
1994,議員,區域,00,00,22,江上清,1,中國國民黨,87816,5.75,Y
1994,議員,區域,00,00,1,陳國賢,1,中國國民黨,20707,8.91,N
1994,議員,區域,00,00,2,劉守成,1,民主進步黨,116511,50.14,Y
1994,議員,區域,00,00,3,盧逸峰,1,中國國民黨,90120,38.79,Y
1994,議員,區域,00,00,4,廖繼斌,1,無,5012,2.16,N
1994,議員,區域,00,00,1,呂學琳,1,無,9054,1.29,N
1994,議員,區域,00,00,2,彭添富,1,民主進步黨,70640,10.05,Y
1994,議員,區域,00,00,3,林熺模,1,民主進步黨,46246,6.58,N
1994,議員,區域,00,00,4,藍照慶,1,無,55965,7.97,N
1994,議員,區域,00,00,5,鄭金鈴,2,中國國民黨,71961,10.24,Y
1994,議員,區域,00,00,6,黃木添,1,無,70769,10.07,Y
1994,議員,區域,00,00,7,吳振寰,1,中國國民黨,55559,7.91,N
1994,議員,區域,00,00,8,許林翠粉,2,民主進步黨,48112,6.85,N
1994,議員,區域,00,00,9,呂進芳,1,中國國民黨,75711,10.78,Y
1994,議員,區域,00,00,10,邱創良,1,中國國民黨,70231,10.00,Y
1994,議員,區域,00,00,11,陳進祥,1,中國國民黨,64803,9.22,Y
1994,議員,區域,00,00,12,郭義輝,1,無,1452,0.21,N
1994,議員,區域,00,00,13,許應舉,1,民主進步黨,58618,8.34,N
1994,議員,區域,00,00,14,姜水浪,1,無,3436,0.49,N
1994,議員,區域,00,00,1,李庭堦,1,無,1409,0.72,N
1994,議員,區域,00,00,2,萬榮河,1,無,2344,1.19,N
1994,議員,區域,00,00,3,張學舜,1,民主進步黨,57239,29.16,Y
1994,議員,區域,00,00,4,吳俊岸,1,中國國民黨,45042,22.95,N
1994,議員,區域,00,00,5,邱鏡淳,1,中國國民黨,90230,45.97,Y
1994,議員,區域,00,00,1,傅文政,1,民主進步黨,33544,11.77,N
1994,議員,區域,00,00,2,李森永,1,無,21433,7.52,N
1994,議員,區域,00,00,3,顏培元,1,無,3630,1.27,N
1994,議員,區域,00,00,4,陳秀龍,1,無,17786,6.24,N
1994,議員,區域,00,00,5,傅學鵬,1,中國國民黨,59423,20.85,Y
1994,議員,區域,00,00,6,林久翔,1,中國國民黨,43599,15.30,Y
1994,議員,區域,00,00,7,羅幸春,1,無,13312,4.67,N
1994,議員,區域,00,00,8,葉武生,1,無,1785,0.63,N
1994,議員,區域,00,00,9,杜文卿,1,民主進步黨,20530,7.20,N
1994,議員,區域,00,00,10,陳超明,1,中國國民黨,69992,24.56,Y
1994,議員,區域,00,00,1,楊文欣,1,中國國民黨,111747,16.69,Y
1994,議員,區域,00,00,2,楊瓊瓔,2,中國國民黨,64735,9.67,Y
1994,議員,區域,00,00,3,劉銓忠,1,中國國民黨,104465,15.60,Y
1994,議員,區域,00,00,4,顏清標,1,無,72150,10.78,Y
1994,議員,區域,00,00,5,林淑滿,2,無,5887,0.88,N
1994,議員,區域,00,00,6,郭榮振,1,中國國民黨,93564,13.98,Y
1994,議員,區域,00,00,7,陳鴻榮,1,民主進步黨,58169,8.69,N
1994,議員,區域,00,00,8,林炳耀,1,無,15429,2.30,N
1994,議員,區域,00,00,9,廖美珍,2,中國國民黨,44751,6.68,N
1994,議員,區域,00,00,10,郭俊銘,1,民主進步黨,98578,14.72,Y
1994,議員,區域,00,00,1,游月霞,2,中國國民黨,88003,13.53,Y
1994,議員,區域,00,00,2,黃俊雄,1,無,6583,1.01,N
1994,議員,區域,00,00,3,謝章捷,1,中國國民黨,101321,15.58,Y
1994,議員,區域,00,00,4,周清玉,1,民主進步黨,90973,13.99,Y
1994,議員,區域,00,00,5,曾嘉香,2,無,8661,1.33,N
1994,議員,區域,00,00,6,謝言信,1,中國國民黨,86426,13.29,Y
1994,議員,區域,00,00,7,林進春,1,中國國民黨,82565,12.70,Y
1994,議員,區域,00,00,8,余勝津,1,無,5408,0.83,N
1994,議員,區域,00,00,9,陳忠孝,1,民主進步黨,54000,8.31,N
1994,議員,區域,00,00,10,陳振雄,1,中國國民黨,77562,11.93,Y
1994,議員,區域,00,00,11,洪木村,1,無,48693,7.49,N
1994,議員,區域,00,00,1,余武龍,1,中國國民黨,55242,20.84,N
1994,議員,區域,00,00,2,張明雄,1,中國國民黨,63525,23.96,Y
1994,議員,區域,00,00,3,陳啟吉,1,無,58303,21.99,Y
1994,議員,區域,00,00,4,林宗男,1,民主進步黨,74835,28.22,Y
1994,議員,區域,00,00,5,鄭光東,1,無,13235,4.99,N
1994,議員,區域,00,00,1,王德顯,1,無,1226,0.34,N
1994,議員,區域,00,00,2,侯惠仙,2,中國國民黨,77826,21.78,Y
1994,議員,區域,00,00,3,許龍俊,1,民主進步黨,37849,10.59,N
1994,議員,區域,00,00,4,蘇治洋,2,民主進步黨,56366,15.78,Y
1994,議員,區域,00,00,5,曾蔡美佐,2,中國國民黨,75018,21.00,Y
1994,議員,區域,00,00,6,蘇文雄,1,中國國民黨,95328,26.68,Y
1994,議員,區域,00,00,7,鄭東來,1,無,13671,3.83,N
1994,議員,區域,00,00,1,許能通,1,無,11596,3.97,N
1994,議員,區域,00,00,2,侯海熊,1,無,49566,16.98,N
1994,議員,區域,00,00,3,陳明文,1,中國國民黨,83434,28.59,Y
1994,議員,區域,00,00,4,許登宮,1,無,73487,25.18,Y
1994,議員,區域,00,00,5,黃永聰,1,民主進步黨,51819,17.76,Y
1994,議員,區域,00,00,6,黃朝揚,1,中國國民黨,21923,7.51,N
1994,議員,區域,00,00,1,胡雅棠,1,無,4299,0.80,N
1994,議員,區域,00,00,2,方醫良,1,中國國民黨,76330,14.29,Y
1994,議員,區域,00,00,3,楊來勇,1,中國國民黨,47329,8.86,N
1994,議員,區域,00,00,4,莊志政,1,中國國民黨,48219,9.03,N
1994,議員,區域,00,00,5,鄭國忠,1,民主進步黨,73076,13.68,Y
