選舉年度,選舉類別,層級,政黨,得票數,得票率,當選席次
2008,立委,不分區,中國國民黨,5010803,51.2322,20
2008,立委,不分區,民主進步黨,3610107,36.9110,14
2008,立委,不分區,民主自由黨,0,0.0000,0
2008,立委,不分區,公民黨,48189,0.4927,0
2008,立委,不分區,新黨,386655,3.9533,0
2008,立委,不分區,綠黨,58468,0.5978,0
2008,立委,不分區,親民黨,0,0.0000,0
2008,立委,不分區,台灣團結聯盟,344883,3.5262,0
2008,立委,不分區,洪運忠義黨,0,0.0000,0
2008,立委,不分區,世界和平黨,0,0.0000,0
2008,立委,不分區,無黨團結聯盟,68523,0.7006,0
2008,立委,不分區,客家黨,42008,0.4295,0
2008,立委,不分區,台灣農民黨,57148,0.5843,0
2008,立委,不分區,第三社會黨,45597,0.4662,0
2008,立委,不分區,大道慈悲濟世黨,0,0.0000,0
2008,立委,不分區,紅黨,77873,0.7962,0
2008,立委,不分區,制憲聯盟,30320,0.3100,0
2008,立委,不分區,無黨籍及未經政黨推薦,0,0.0000,0
2012,立委,不分區,中國國民黨,5863282,44.5468,16
2012,立委,不分區,民主進步黨,4556420,34.6178,13
2012,立委,不分區,新黨,195957,1.4888,0
2012,立委,不分區,綠黨,229560,1.7441,0
2012,立委,不分區,親民黨,722084,5.4861,2
2012,立委,不分區,台灣團結聯盟,1178795,8.9560,3
2012,立委,不分區,無黨團結聯盟,0,0.0000,0
2012,立委,不分區,台灣國民會議,118630,0.9013,0
2012,立委,不分區,人民最大黨,84816,0.6444,0
2012,立委,不分區,台灣主義黨,29891,0.2271,0
2012,立委,不分區,中華台商愛國黨,0,0.0000,0
2012,立委,不分區,正黨,0,0.0000,0
2012,立委,不分區,健保免費連線,163341,1.2410,0
2012,立委,不分區,中華民國臺灣基本法連線,19269,0.1464,0
2012,立委,不分區,人民民主陣線,0,0.0000,0
2012,立委,不分區,無黨籍及未經政黨推薦,0,0.0000,0
2020,立委,不分區,中國國民黨,4723511,33.3578,13
2020,立委,不分區,勞動黨,19937,0.1408,0
2020,立委,不分區,民主進步黨,4811247,33.9774,13
2020,立委,不分區,新黨,147379,1.0408,0
2020,立委,不分區,綠黨,341472,2.4115,0
2020,立委,不分區,親民黨,518927,3.6647,0
2020,立委,不分區,台灣團結聯盟,50438,0.3562,0
2020,立委,不分區,中華統一促進黨,32965,0.2328,0
2020,立委,不分區,時代力量,1098105,7.7549,3
2020,立委,不分區,台灣基進,447290,3.1588,0
2020,立委,不分區,宗教聯盟,31124,0.2198,0
2020,立委,不分區,國會政黨聯盟,40328,0.2848,0
2020,立委,不分區,合一行動聯盟,17516,0.1237,0
2020,立委,不分區,安定力量,94561,0.6678,0
2020,立委,不分區,喜樂島聯盟,29326,0.2071,0
2020,立委,不分區,台灣民眾黨,1588810,11.2203,5
2020,立委,不分區,一邊一國行動黨,143612,1.0142,0
2020,立委,不分區,台澎黨,11682,0.0825,0
2020,立委,不分區,台灣維新,11951,0.0844,0
2024,立委,不分區,中國國民黨,4764574,34.5842,13
2024,立委,不分區,民主進步黨,4982067,36.1629,13
2024,立委,不分區,新黨,40283,0.2924,0
2024,立委,不分區,台灣綠黨,117295,0.8514,0
2024,立委,不分區,親民黨,69820,0.5068,0
2024,立委,不分區,台灣團結聯盟,43369,0.3148,0
2024,立委,不分區,中華統一促進黨,17428,0.1265,0
2024,立委,不分區,人民最大黨,11752,0.0853,0
2024,立委,不分區,制度救世島,19659,0.1427,0
2024,立委,不分區,時代力量,353415,2.5653,0
2024,立委,不分區,台灣基進,95073,0.6901,0
2024,立委,不分區,台灣民眾黨,3040608,22.0706,8
2024,立委,不分區,台灣維新,10305,0.0748,0
2024,立委,不分區,小民參政歐巴桑聯盟,128620,0.9336,0
2024,立委,不分區,臺灣雙語無法黨,44857,0.3256,0
2024,立委,不分區,司法改革黨,37610,0.2730,0
