選舉年度,選舉別,選舉類別,屆任次,投票日期,地區,號次,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選否,是否現任,副手姓名,副手性別,副手出生年次
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,01,陳履安,M,1937,無黨籍及未經政黨推薦,1074044,9.98,N,N,王清峰,F,1952
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,02,李登輝,M,1923,中國國民黨,5813699,54,Y,Y,連戰,M,1936
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,03,彭明敏,M,1923,民主進步黨,2274586,21.13,N,N,謝長廷,M,1946
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,04,林洋港,M,1927,無黨籍及未經政黨推薦,1603790,14.9,N,N,郝柏村,M,1919
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,01,宋楚瑜,M,1942,無黨籍及未經政黨推薦,4664972,36.84,N,N,張昭雄,M,1942
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,02,連戰,M,1936,中國國民黨,2925513,23.1,N,N,蕭萬長,M,1939
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,03,李敖,M,1937,新黨,16782,0.13,N,N,馮滬祥,M,1948
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,04,許信良,M,1941,無黨籍及未經政黨推薦,79429,0.63,N,N,朱惠良,F,1950
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,05,陳水扁,M,1951,民主進步黨,4977697,39.3,Y,N,呂秀蓮,F,1944
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,01,陳水扁,M,1951,民主進步黨,6471970,50.11,Y,Y,呂秀蓮,F,1944
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,02,連戰,M,1936,中國國民黨,6442452,49.89,N,N,宋楚瑜,M,1942
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,01,謝長廷,M,1946,民主進步黨,5444949,41.55,N,N,蘇貞昌,M,1947
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,02,馬英九,M,1950,中國國民黨,7659014,58.45,Y,N,蕭萬長,M,1939
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,01,蔡英文,F,1956,民主進步黨,6093578,45.63,N,N,蘇嘉全,M,1956
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,02,馬英九,M,1950,中國國民黨,6891139,51.6,Y,Y,吳敦義,M,1948
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,03,宋楚瑜,M,1942,親民黨,369588,2.77,N,N,林瑞雄,M,1940
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,01,朱立倫,M,1961,中國國民黨,3813365,31.04,N,N,王如玄,F,1961
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,02,蔡英文,F,1956,民主進步黨,6894744,56.12,Y,N,陳建仁,M,1951
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,03,宋楚瑜,M,1942,親民黨,1576861,12.83,N,N,徐欣瑩,F,1972
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,01,宋楚瑜,M,1942,親民黨,608590,4.2556,N,N,余湘(副總統),F,1959
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,02,韓國瑜,M,1957,中國國民黨,5522119,38.6137,N,N,張善政(副總統),M,1954
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,03,蔡英文,F,1956,民主進步黨,8170231,57.1307,Y,Y,賴清德(副總統),M,1959
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,01,柯文哲,M,1959,台灣民眾黨,3690466,26.46,N,N,吳欣盈,F,1978
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,02,賴清德,M,1959,民主進步黨,5586019,40.05,Y,Y,蕭美琴,F,1971
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,03,侯友宜,M,1957,中國國民黨,4671021,33.49,N,N,趙少康,M,1950
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,01,蔡正治,M,1943,無黨籍及未經政黨推薦,37256,0.44,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,02,朱高正,M,1953,新黨,362377,4.31,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,03,宋楚瑜,M,1942,中國國民黨,4726012,56.22,Y,Y,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,04,吳梓,M,1939,無黨籍及未經政黨推薦,25398,0.3,N,N,,,
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,05,陳定南,M,1942,民主進步黨,3254887,38.72,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,01,紀榮治,M,1944,無黨籍及未經政黨推薦,3941,0.28,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,02,趙少康,M,1949,新黨,424905,30.17,N,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,03,陳水扁,M,1951,民主進步黨,615090,43.67,Y,N,,,
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,04,黃大洲,M,1936,中國國民黨,364618,25.89,N,Y,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,01,吳敦義,M,1948,中國國民黨,400766,54.46,Y,Y,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,02,施鐘響,M,1937,無黨籍及未經政黨推薦,13084,1.78,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,03,張俊雄,M,1937,民主進步黨,289110,39.29,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,04,鄭德耀,M,1951,無黨籍及未經政黨推薦,7513,1.02,N,N,,,
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,05,湯阿根,M,1936,新黨,25413,3.45,N,N,,,
1998,第 02 屆 直轄市台北市長選舉,直轄市台北市長選舉,02,1998-12-05,台北市,01,馬英九,M,1950,中國國民黨,766377,51.13,Y,N,,,
