選舉年度,選舉別,選舉概況表_url,候選人得票明細_url,候選人資歷統計_pdf,當選人資歷統計_pdf,政黨得票統計_pdf,政黨候選人數與當選席次_pdf
1996,第 09 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I9AA>I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I9AA>I8888888888iii((,https://vote.nccu.edu.tw/cec/A1996003.PDF,https://vote.nccu.edu.tw/cec/A1996004.PDF,https://vote.nccu.edu.tw/cec/A1996005.PDF,https://vote.nccu.edu.tw/cec/A1996006.PDF
2000,第 10 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:888I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:888I8888888888iii((,https://vote.nccu.edu.tw/cec/A2000003.PDF,https://vote.nccu.edu.tw/cec/A2000004.PDF,https://vote.nccu.edu.tw/cec/A2000005.PDF,https://vote.nccu.edu.tw/cec/A2000006.PDF
2004,第 11 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:88<I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:88<I8888888888iii((,https://vote.nccu.edu.tw/cec/A2004003.PDF,https://vote.nccu.edu.tw/cec/A2004004.PDF,https://vote.nccu.edu.tw/cec/A2004005.PDF,https://vote.nccu.edu.tw/cec/A2004006.PDF
2008,第 12 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:88@I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:88@I8888888888iii((,https://vote.nccu.edu.tw/cec/A2008003.PDF,https://vote.nccu.edu.tw/cec/A2008004.PDF,https://vote.nccu.edu.tw/cec/A2008005.PDF,https://vote.nccu.edu.tw/cec/A2008006.PDF
2012,第 13 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:89:I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:89:I8888888888iii((,https://vote.nccu.edu.tw/cec/A2012003.PDF,https://vote.nccu.edu.tw/cec/A2012004.PDF,https://vote.nccu.edu.tw/cec/A2012005.PDF,https://vote.nccu.edu.tw/cec/A2012006.PDF
2016,第 14 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:89>I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:89>I8888888888iii((,https://vote.nccu.edu.tw/cec/A2016003.PDF,https://vote.nccu.edu.tw/cec/A2016004.PDF,https://vote.nccu.edu.tw/cec/A2016005.PDF,https://vote.nccu.edu.tw/cec/A2016006.PDF
2020,第 15 任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:8:8I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:8:8I8888888888iii((,https://vote.nccu.edu.tw/cec/A2020003.PDF,https://vote.nccu.edu.tw/cec/A2020004.PDF,https://vote.nccu.edu.tw/cec/A2020005.PDF,https://vote.nccu.edu.tw/cec/A2020006.PDF
2024,第 16任 總統(副總統)選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=I:8:<I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=I:8:<I8888888888iii((,https://vote.nccu.edu.tw/cec/A2024003.PDF,https://vote.nccu.edu.tw/cec/A2024004.PDF,https://vote.nccu.edu.tw/cec/A2024005.PDF,https://vote.nccu.edu.tw/cec/A2024006.PDF
1992,第 02 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B1992003.PDF,https://vote.nccu.edu.tw/cec/B1992004.PDF,https://vote.nccu.edu.tw/cec/B1992005.PDF,https://vote.nccu.edu.tw/cec/B1992006.PDF
1995,第 03 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B1995003.PDF,https://vote.nccu.edu.tw/cec/B1995004.PDF,https://vote.nccu.edu.tw/cec/B1995005.PDF,https://vote.nccu.edu.tw/cec/B1995006.PDF
1998,第 04 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B1998003.PDF,https://vote.nccu.edu.tw/cec/B1998004.PDF,https://vote.nccu.edu.tw/cec/B1998005.PDF,https://vote.nccu.edu.tw/cec/B1998006.PDF
2001,第 05 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2001003.PDF,https://vote.nccu.edu.tw/cec/B2001004.PDF,https://vote.nccu.edu.tw/cec/B2001005.PDF,https://vote.nccu.edu.tw/cec/B2001006.PDF
2004,第 06 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2004003.PDF,https://vote.nccu.edu.tw/cec/B2004004.PDF,https://vote.nccu.edu.tw/cec/B2004005.PDF,https://vote.nccu.edu.tw/cec/B2004006.PDF
2008,第 07 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2008003.PDF,https://vote.nccu.edu.tw/cec/B2008004.PDF,https://vote.nccu.edu.tw/cec/B2008005.PDF,https://vote.nccu.edu.tw/cec/B2008006.PDF
2012,第 08 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2012003.PDF,https://vote.nccu.edu.tw/cec/B2012004.PDF,https://vote.nccu.edu.tw/cec/B2012005.PDF,https://vote.nccu.edu.tw/cec/B2012006.PDF
2016,第 09 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2016003.PDF,https://vote.nccu.edu.tw/cec/B2016004.PDF,https://vote.nccu.edu.tw/cec/B2016005.PDF,https://vote.nccu.edu.tw/cec/B2016006.PDF
2020,第10 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2020003.PDF,https://vote.nccu.edu.tw/cec/B2020004.PDF,https://vote.nccu.edu.tw/cec/B2020005.PDF,https://vote.nccu.edu.tw/cec/B2020006.PDF
2024,第11 屆 立法委員選舉,,,https://vote.nccu.edu.tw/cec/B2024003.PDF,https://vote.nccu.edu.tw/cec/B2024004.PDF,https://vote.nccu.edu.tw/cec/B2024005.PDF,https://vote.nccu.edu.tw/cec/B2024006.PDF
1996,第 03 屆 國大代表選舉,,,https://vote.nccu.edu.tw/cec/C1996003.PDF,https://vote.nccu.edu.tw/cec/C1996004.PDF,https://vote.nccu.edu.tw/cec/C1996005.PDF,https://vote.nccu.edu.tw/cec/C1996006.PDF
1994,第 01 屆 台灣省長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L9AA<8>:88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L9AA<I>:88888888iii((,https://vote.nccu.edu.tw/cec/D1994623.PDF,https://vote.nccu.edu.tw/cec/D1994624.PDF,https://vote.nccu.edu.tw/cec/D1994625.PDF,https://vote.nccu.edu.tw/cec/D1994626.PDF
1994,第 01 屆 台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L9AA<8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L9AA<I>;88888888iii((,https://vote.nccu.edu.tw/cec/D1994633.PDF,https://vote.nccu.edu.tw/cec/D1994634.PDF,https://vote.nccu.edu.tw/cec/D1994635.PDF,https://vote.nccu.edu.tw/cec/D1994636.PDF
1994,第 01 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L9AA<8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L9AA<I><88888888iii((,https://vote.nccu.edu.tw/cec/D1994643.PDF,https://vote.nccu.edu.tw/cec/D1994644.PDF,https://vote.nccu.edu.tw/cec/D1994645.PDF,https://vote.nccu.edu.tw/cec/D1994646.PDF
1998,第 02 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L9AA@8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L9AA@I>;88888888iii((,https://vote.nccu.edu.tw/cec/D1998633.PDF,https://vote.nccu.edu.tw/cec/D1998634.PDF,https://vote.nccu.edu.tw/cec/D1998635.PDF,https://vote.nccu.edu.tw/cec/D1998636.PDF
1998,第 02 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L9AA@8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L9AA@I><88888888iii((,https://vote.nccu.edu.tw/cec/D1998643.PDF,https://vote.nccu.edu.tw/cec/D1998644.PDF,https://vote.nccu.edu.tw/cec/D1998645.PDF,https://vote.nccu.edu.tw/cec/D1998646.PDF
2002,第 03 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:88:8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:88:I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2002633.PDF,https://vote.nccu.edu.tw/cec/D2002634.PDF,https://vote.nccu.edu.tw/cec/D2002635.PDF,https://vote.nccu.edu.tw/cec/D2002636.PDF
2002,第 03 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:88:8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:88:I><88888888iii((,https://vote.nccu.edu.tw/cec/D2002643.PDF,https://vote.nccu.edu.tw/cec/D2002644.PDF,https://vote.nccu.edu.tw/cec/D2002645.PDF,https://vote.nccu.edu.tw/cec/D2002646.PDF
2006,第 04 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:88>8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:88>I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2006633.PDF,https://vote.nccu.edu.tw/cec/D2006634.PDF,https://vote.nccu.edu.tw/cec/D2006635.PDF,https://vote.nccu.edu.tw/cec/D2006636.PDF
2006,第 04 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:88>8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:88>I><88888888iii((,https://vote.nccu.edu.tw/cec/D2006643.PDF,https://vote.nccu.edu.tw/cec/D2006644.PDF,https://vote.nccu.edu.tw/cec/D2006645.PDF,https://vote.nccu.edu.tw/cec/D2006646.PDF
2010,第 05 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8988>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:898I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2010633.PDF,https://vote.nccu.edu.tw/cec/D2010634.PDF,https://vote.nccu.edu.tw/cec/D2010635.PDF,https://vote.nccu.edu.tw/cec/D2010636.PDF
2010,第 01 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8988><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:898I><88888888iii((,https://vote.nccu.edu.tw/cec/D2010643.PDF,https://vote.nccu.edu.tw/cec/D2010644.PDF,https://vote.nccu.edu.tw/cec/D2010645.PDF,https://vote.nccu.edu.tw/cec/D2010646.PDF
2010,第 01 屆 直轄市新北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8988>=88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:898I>=88888888iii((,https://vote.nccu.edu.tw/cec/D2010653.PDF,https://vote.nccu.edu.tw/cec/D2010654.PDF,https://vote.nccu.edu.tw/cec/D2010655.PDF,https://vote.nccu.edu.tw/cec/D2010656.PDF
2010,第 01 屆 直轄市台中市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8988>>88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:898I>>88888888iii((,https://vote.nccu.edu.tw/cec/D2010663.PDF,https://vote.nccu.edu.tw/cec/D2010664.PDF,https://vote.nccu.edu.tw/cec/D2010665.PDF,https://vote.nccu.edu.tw/cec/D2010666.PDF
2010,第 01 屆 直轄市台南市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:8988>?88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:898I>?88888888iii((,https://vote.nccu.edu.tw/cec/D2010673.PDF,https://vote.nccu.edu.tw/cec/D2010674.PDF,https://vote.nccu.edu.tw/cec/D2010675.PDF,https://vote.nccu.edu.tw/cec/D2010676.PDF
2014,第 06屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2014633.PDF,https://vote.nccu.edu.tw/cec/D2014634.PDF,https://vote.nccu.edu.tw/cec/D2014635.PDF,https://vote.nccu.edu.tw/cec/D2014636.PDF
2014,第 02 屆 直轄市高雄市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8><88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I><88888888iii((,https://vote.nccu.edu.tw/cec/D2014643.PDF,https://vote.nccu.edu.tw/cec/D2014644.PDF,https://vote.nccu.edu.tw/cec/D2014645.PDF,https://vote.nccu.edu.tw/cec/D2014646.PDF
2014,第 02 屆 直轄市新北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8>=88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I>=88888888iii((,https://vote.nccu.edu.tw/cec/D2014653.PDF,https://vote.nccu.edu.tw/cec/D2014654.PDF,https://vote.nccu.edu.tw/cec/D2014655.PDF,https://vote.nccu.edu.tw/cec/D2014656.PDF
2014,第 02屆 直轄市台中市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8>>88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I>>88888888iii((,https://vote.nccu.edu.tw/cec/D2014663.PDF,https://vote.nccu.edu.tw/cec/D2014664.PDF,https://vote.nccu.edu.tw/cec/D2014665.PDF,https://vote.nccu.edu.tw/cec/D2014666.PDF
2014,第 02 屆 直轄市台南市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8>?88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I>?88888888iii((,https://vote.nccu.edu.tw/cec/D2014673.PDF,https://vote.nccu.edu.tw/cec/D2014674.PDF,https://vote.nccu.edu.tw/cec/D2014675.PDF,https://vote.nccu.edu.tw/cec/D2014676.PDF
2014,第 01 屆 直轄市桃園市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89<8>@88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89<I>@88888888iii((,https://vote.nccu.edu.tw/cec/D2014683.PDF,https://vote.nccu.edu.tw/cec/D2014684.PDF,https://vote.nccu.edu.tw/cec/D2014685.PDF,https://vote.nccu.edu.tw/cec/D2014686.PDF
2018,第 07 屆 直轄市台北市長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=L:89@8>;88888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=L:89@I>;88888888iii((,https://vote.nccu.edu.tw/cec/D2018633.PDF,https://vote.nccu.edu.tw/cec/D2018634.PDF,https://vote.nccu.edu.tw/cec/D2018635.PDF,https://vote.nccu.edu.tw/cec/D2018636.PDF
