選舉年度,選舉別,選舉類別,屆任次,投票日期,地區別,人口數,選舉人數,候選人數,當選人數,投票數合計,有效票數,無效票數,選舉人數對人口數_pct,投票率_pct,當選對候選_pct
1996,第 09 任 總統(副總統)選舉,總統(副總統)選舉,09,1996-03-23,台閩地區,21311885,14313288,4,1,10883279,10766119,117160,67.16,76.04,25
2000,第 10 任 總統(副總統)選舉,總統(副總統)選舉,10,2000-03-18,台閩地區,22134777,15462625,5,1,12786671,12664393,122278,69.86,82.69,20
2004,第 11 任 總統(副總統)選舉,總統(副總統)選舉,11,2004-03-20,台閩地區,22573965,16507179,2,1,13251719,12914422,337297,73.12,80.28,50
2008,第 12 任 總統(副總統)選舉,總統(副總統)選舉,12,2008-03-22,台閩地區,22925311,17321622,4,2,13221609,13103963,117646,75.56,76.33,50
2012,第 13 任 總統(副總統)選舉,總統(副總統)選舉,13,2012-01-14,台閩地區,23224912,18086455,3,1,13452016,13354305,97711,77.88,74.38,33.33
2016,第 14 任 總統(副總統)選舉,總統(副總統)選舉,14,2016-01-16,台閩地區,23483793,18782991,3,1,12448302,12284970,163332,79.98,66.27,33.33
2020,第 15 任 總統(副總統)選舉,總統(副總統)選舉,15,2020-01-11,台閩地區,23598776,19311105,3,1,14464571,14300940,163631,81.83,74.9,33.33
2024,第 16任 總統(副總統)選舉,總統(副總統)選舉,16,2024-01-13,台閩地區,23415008,19548531,3,1,14048311,13947506,100805,83.49,71.86,33.33
1994,第 01 屆 台灣省長選舉,台灣省長選舉,01,1994-12-03,台灣省,16960902,11184258,5,1,8517124,8405930,111194,65.94,76.15,20
1994,第 01 屆 台北市長選舉,台北市長選舉,01,1994-12-03,台北市,2651419,1816986,4,1,1426852,1408554,18298,68.53,78.53,25
1994,第 01 屆 直轄市高雄市長選舉,直轄市高雄市長選舉,01,1994-12-03,高雄市,1413240,926318,5,1,746469,735886,10583,65.55,80.58,20
